std_id,first_name,last_name,score,username,password
1650700001,Alana,Titterington,80,alanna.t,pwd123
1650700002,Rosa,Brewer,79,rosa.b,pwd124
1650700003,Sandra,Baresi,55,sandra.b,pwd125
1650700004,Renzo,Ricci,89,renzo.r,pwd126
1650700005,Harley,Butler,100,harley.b,pwd127
1650700006,Jeffrey,Blake,77,jeffrey.b,pwd128
1650700007,Johnny,Gibbs,39,johnny.g,pwd129
1650700008,Bond,Nash,85,bond.n,pwd130
1650700009,Baxter,Cole,78,baxter.c,pwd131
1650700010,Alex,Males,100,alex.m,pwd132
1650700011,Maggie,Simmons,98,maggie.s,pwd133
1650700012,Kevin,Benson,82,kevin.b,pwd134
1650700013,Webster,Slater,70,webster.s,pwd135
1650700014,Daniel,Ingram,81,daniel.i,pwd136
